ID_Posting	ID_Posting_Parent	ID_GodotObject	ID_CommunityIdentity	id_posting_status	Headline	Comment	createdAt	VoteNegative	VotePositive
1051800287		2000116189812	184470	1	Nicht sinnvoll	Forschungen, Studien, Statistiken unddieganze damit verbundene Lügerei in allen Ehren - daran, dass nach Ostern die Betriebe und Geschäftewieder aufsperrren, führt kein Weg vorbei! Eswird zwar zu einer überbordeneden Welle an Infitizierten kommen, doch bei weiterem wirtschaftlichen Stillstand drohen echte Versorgungsengpässe, und in Kürze der Bürgerkrieg. Wenn man gesehen hat, wie allein von Fake News die Leut; plötzlich wie die Trotteln Nudeln & Häuslpapier gehamstert haben, dann kann man sich ca. ansatzweise ausmalen, was los ist, wenn's echt nichts mehr zum Futtern gibt. Wennst ihm sein Papperl wegnimmst, dann wird sogar der gelernte Österreicher zum Berserker! Dann lieber komplette Durchseuchung mit anschliessender Herdenimmunität...	2020-03-26 16:09:27.953	True	False
1051801262		2000116189812	240940	1	super	erst ganz unten steht das wichtigste
"hält von den Schlussfolgerungen aus den Simulationen der TU-Wien-Forscher allerdings wenig. "Ich halte so eine Aussendung für unverantwortlich und wissenschaftlich nicht belegbar"	2020-03-26 16:28:10.400	True	False
1054666961	1054666937	2000117671399	602300	1		es handelt sich um 1 Pressekonferenz. Mit Pausen dazwischen.	2020-05-25 09:19:27.010	False	True
1054667707		2000117671399	56623	1		die DB app sollte vor allem eines: gut funktionieren.

und die züge der DB sollten pünktlich sein.

damit wäre schon vielen geholfen.	2020-05-25 09:37:30.027	False	True
1054670167	1054669512	2000117671399	556588	1		Der Hammer ist doch eh offensichtlich da, nur die Zahlen sind noch nicht veröffentlicht.	2020-05-25 10:35:47.593	False	True
1054677853		2000117671399	729749	1		Gute Werbung für die Firma	2020-05-25 13:17:38.880	False	True
1054680181		2000117671399	211551	1		Gesundheit beugt sich den Salzburger Festspielen.	2020-05-25 14:03:06.383	False	True
1054687006	1054686977	2000117671399	214794	1	A330	zumindest die AUA Voegel, konnten es auch.	2020-05-25 16:41:31.320	False	True
1054688974		2000117671399	634421	1		Kurz will nicht, dass die Ösis nach Slowenien fahren, die Ösis sollen daheim bleiben udn das Geld daheim ausgeben..	2020-05-25 17:31:01.370	False	True
1054699637		2000117671399	679719	1		Bei dem Geschwafel wird sogar der Kamera schwindlig	2020-05-25 22:12:50.900	False	True
1054700358	1054700346	2000117671399	577579	1		*wachelt mitm Handtuch*	2020-05-25 22:33:54.423	False	True
